标题,URL,位置,面积,朝向,房型,楼层,可否看房,租金
整租·光华园 1室1厅 南/北,/zufang/SH2331094039568588800.html,徐汇-上海南站-光华园,52㎡,南 北,1室1厅1卫,低楼层（6层）,新上/随时看房,4100元/月
整租·长桥一村 1室0厅 南,/zufang/SH2329487103995412480.html,徐汇-长桥-长桥一村,29㎡,南,1室0厅1卫,中楼层（5层）,精装/新上/随时看房,3600元/月
整租·汇成二村 1室0厅 南,/zufang/SH2317354078369759232.html,徐汇-上海南站-汇成二村,33㎡,南,1室0厅1卫,高楼层（6层）,精装/随时看房,3200元/月
整租·华建一街坊 2室1厅 南,/zufang/SH2306213071539929088.html,徐汇-华泾-华建一街坊,56㎡,南,2室1厅1卫,高楼层（6层）,随时看房,3720元/月
整租·长桥三村 2室1厅 南,/zufang/SH2307750683245551616.html,徐汇-长桥-长桥三村,58㎡,南,2室1厅1卫,中楼层（6层）,随时看房,4300元/月
整租·长桥一村 1室0厅 东南,/zufang/SH2314210525871357952.html,徐汇-长桥-长桥一村,42㎡,东南,1室0厅1卫,高楼层（6层）,精装/随时看房,3900元/月
整租·上中路458弄 1室1厅 南,/zufang/SH2326134040845369344.html,徐汇-植物园-上中路458弄,38㎡,南,1室1厅1卫,高楼层（6层）,随时看房,3500元/月
整租·田林十二村 1室1厅 南,/zufang/SH2298569163675287552.html,徐汇-田林-田林十二村,30㎡,南,1室1厅1卫,中楼层（6层）,近地铁/随时看房,3900元/月
整租·田林十四村 1室1厅 南,/zufang/SH2298574048889667584.html,徐汇-田林-田林十四村,37㎡,南,1室1厅1卫,高楼层（6层）,近地铁/随时看房,4500元/月
整租·日晖二村 1室1厅 南,/zufang/SH2318110068161118208.html,徐汇-斜土路-日晖二村,38㎡,南,1室1厅1卫,低楼层（5层）,近地铁/随时看房,4350元/月
整租·宛平南路268弄 1室0厅 南,/zufang/SH2326835280406904832.html,徐汇-徐家汇-宛平南路268弄,23㎡,南,1室0厅1卫,中楼层（7层）,近地铁/精装/随时看房,4000元/月
整租·橡胶小区 1室1厅 南,/zufang/SH2323155431876468736.html,徐汇-徐家汇-橡胶小区,37㎡,南,1室1厅1卫,中楼层（6层）,近地铁/新上/随时看房,5000元/月
整租·楼园小区 2室1厅 南,/zufang/SH2331649267992895488.html,徐汇-上海南站-楼园小区,61㎡,南,2室1厅1卫,中楼层（6层）,新上/随时看房,5100元/月
整租·海防新村 1室1厅 南,/zufang/SH2328770719053791232.html,浦东-洋泾-海防新村,30㎡,南,1室1厅1卫,高楼层（6层）,新上/随时看房,3600元/月
整租·南丹小区 1室1厅 东南/南,/zufang/SH2298455869585113088.html,徐汇-徐家汇-南丹小区,37㎡,东南 南,1室1厅1卫,低楼层（7层）,近地铁/随时看房,4850元/月
整租·淡水路442弄 2室1厅 南,/zufang/SH2310669801573318656.html,黄浦-新天地-淡水路442弄,46㎡,南,2室1厅1卫,中楼层（6层）,近地铁/随时看房,7800元/月
整租·陈家宅小区(浦东大道) 1室0厅 南,/zufang/SH2300458290116829184.html,浦东-金桥-陈家宅小区(浦东大道),38㎡,南,1室0厅1卫,低楼层（6层）,精装/随时看房,3500元/月
整租·老西门新苑 1室2厅 南,/zufang/SH2302611834089783296.html,黄浦-老西门-老西门新苑,84㎡,南,1室2厅1卫,高楼层（35层）,近地铁/随时看房,12800元/月
整租·丰裕里 2室1厅 南,/zufang/SH2309431012997996544.html,黄浦-新天地-丰裕里,60㎡,南,2室1厅1卫,中楼层（3层）,近地铁/精装/随时看房,9800元/月
整租·汇成五村 2室1厅 南/北,/zufang/SH2308484721056677888.html,徐汇-上海南站-汇成五村,59㎡,南 北,2室1厅1卫,高楼层（6层）,随时看房,4650元/月
整租·百龙小区 2室1厅 南,/zufang/SH2326134993455693824.html,徐汇-植物园-百龙小区,85㎡,南,2室1厅1卫,高楼层（15层）,随时看房,5500元/月
整租·马当小区 2室1厅 南,/zufang/SH2303498281835036672.html,黄浦-新天地-马当小区,62㎡,南,2室1厅1卫,中楼层（27层）,近地铁/精装/随时看房,9500元/月
整租·田林十一村 2室0厅 南,/zufang/SH2323779773236510720.html,徐汇-田林-田林十一村,50㎡,南,2室0厅1卫,中楼层（6层）,近地铁/精装/随时看房,6000元/月
整租·康健路77弄 2室1厅 南,/zufang/SH2320820357159985152.html,徐汇-康健-康健路77弄,51㎡,南,2室1厅1卫,高楼层（6层）,近地铁/随时看房,5400元/月
整租·百龙小区 2室1厅 南,/zufang/SH2317354584772706304.html,徐汇-植物园-百龙小区,85㎡,南,2室1厅1卫,低楼层（15层）,精装/随时看房,5580元/月
